"latitude","longitude","codePostal","nomVille","nomSport","ouvertureCovid"
48.58961,-2.5526,22370,"Pléneuf-Val-André","VTT","oui"
48.7875439,-3.2307769,22220,"Tréguier","Jeu de piste",""
48.4847309,-2.2606,22130,"Bourseul","Yoga / Bien-être",""
48.58135,-2.54051,22370,"Pléneuf-Val-André","Randonnée pédestre",""
48.50955,-2.77273,22000,"Saint-Brieuc","",""
48.5102423,-2.7061332,22360,"Langueux","",""
48.67538,-2.93152,22580,"Plouha","Natation","oui"
48.6751218,-2.9092311,22580,"Plouha","Equitation","oui"
48.611355,-3.473584,22420,"Plouaret","Pêche#Pêche en eau douce",""
48.4948862,-2.73863,22950,"Trégueux","",""
48.3122874,-2.781708,22150,"Plœuc-L'Hermitage","Equitation#Randonnée équestre",""
48.757,-3.47053,22300,"Lannion","ULM",""
48.36197,-2.07729,22630,"Saint-Juvat","",""
48.37435,-2.24856,22270,"Mégrit","",""
48.5117505,-2.7621726,22000,"Saint-Brieuc","",""
48.5116688,-2.7621619,22000,"Saint-Brieuc","",""
48.5751819,-3.1749734,22200,"Grâces","Tir",""
48.19807,-2.98733,22530,"Guerlédan","",""
48.821,-3.47627,22700,"Perros-Guirec","",""
48.59066,-2.55343,22370,"Pléneuf-Val-André","",""
48.59066,-2.55343,22370,"Pléneuf-Val-André","",""
48.59066,-2.55343,22370,"Pléneuf-Val-André","",""
48.8178985,-3.4607386,22700,"Perros-Guirec","Voile",""
48.81822,-3.47375,22700,"Perros-Guirec","",""
48.233913,-2.3749159,22230,"Saint-Launeuc","",""
48.8177652,-3.4448143,22700,"Perros-Guirec","",""
48.20258,-2.98309,22530,"Guerlédan","",""
48.4791432,-2.6776192,22120,"Yffiniac","",""
48.82035,-3.35233,22660,"Trévou-Tréguignec","Stand up paddle#Surf",""
48.70423,-3.107395,22260,"Quemper-Guézennec","Attelage",""
48.670054,-2.8897369,22580,"Plouha","Equitation",""
48.5117505,-2.7621726,22000,"Saint-Brieuc","",""
48.73212,-3.45839,22300,"Lannion","Gymnastique",""
48.45524,-2.028408,22100,"Lanvallay","Escalade",""
48.51572,-2.7639,22000,"Saint-Brieuc","Randonnée pédestre",""
48.323796,-2.737669,22150,"Plœuc-L'Hermitage","",""
48.7693,-3.03975,22500,"Paimpol","Cyclotourisme",""
48.66297,-3.62451,22310,"Plestin-les-Grèves","Gymnastique#Yoga / Bien-être",""
48.4535578,-2.0601462,22100,"Dinan","",""
48.6792103,-3.5226958,NA,"","Randonnée pédestre",""
48.5779744,-2.5662171,22370,"Pléneuf-Val-André","Pêche en mer",""
48.597982,-2.1888031,22750,"Saint-Jacut-de-la-Mer","",""
48.54871,-2.0583,22490,"Pleslin-Trigavou","Yoga / Bien-être",""
48.656082,-4.1737639,29430,"Plouescat","Ping-pong",""
48.5701566,-4.5961355,29830,"Saint-Pabu","Plongée",""
47.8965596,-3.9737405,29940,"La Forêt-Fouesnant","Catamaran#Kayak de mer#Planche à voile#Stand up paddle#Voile","oui"
47.8372199,-4.3457081,29120,"Plomeur","Bodyboard#Char à voile#Stand up paddle#Surf","oui"
48.7104896,-3.8309669,29630,"Plougasnou","Plongée",""
47.8370012,-4.176542,29750,"Loctudy","Flyboard#Jetski#Motonautisme#Scooter de mer","oui"
47.957898,-4.382799,29710,"Pouldreuzic","Voile","oui"
48.391613,-4.435704,29200,"Brest","Voile",""
48.597614,-4.5612144,29870,"Landéda","Plongée","oui"
47.9386067,-4.4000682,29710,"Pouldreuzic","Char à voile","oui"
48.3486068,-4.3286331,29470,"Loperhet","Canoë kayak#Catamaran#Dériveur#Fun board#Kayak de mer#Planche à voile#Stand up paddle#Voile",""
48.319652,-4.2843509,29460,"Logonna-Daoulas","Canoë kayak#Fun board#Planche à voile#Stand up paddle#Voile","oui"
47.8702079,-4.1152567,29120,"Combrit","Canoë kayak#Fun board#Kayak de mer#Planche à voile#Stand up paddle#Voile","oui"
48.0954058,-4.3286487,29100,"Douarnenez","Canoë kayak","non"
48.4569608,-5.0960254,29242,"Ouessant","Canoë kayak#Planche à voile#Voile",""
48.2236719,-4.5006608,29160,"Crozon","Canoë kayak#Marche aquatique#Stand up paddle",""
48.338763,-4.377116,29470,"Plougastel-Daoulas","Aviron",""
48.4418518,-4.7759366,29810,"Plouarzel","Dériveur#Voile",""
48.6762836,-3.8514375,29630,"Plougasnou","Kayak de mer#Marche aquatique#Planche à voile#Stand up paddle#Voile",""
48.0965791,-4.3405044,29100,"Douarnenez","Aviron","non"
47.7691553,-3.5627715,29360,"Clohars-Carnoët","Bodyboard#Stand up paddle#Surf",""
47.855264,-3.8551974,29910,"Trégunc","Aviron","oui"
48.5306659,-4.747978,29840,"Landunvez","Surf",""
47.8059,-3.71692,29350,"Moëlan-sur-Mer","Canoë kayak#Catamaran#Dériveur#Fun board#Kayak de mer#Planche à voile#Stand up paddle#Voile",""
47.8667878,-3.5428597,29300,"Quimperlé","Canoë kayak#Kayak de mer#Stand up paddle",""
48.2753544,-4.5905754,29570,"Camaret-sur-Mer","Catamaran#Kayak de mer#Planche à voile#Plongée#Stand up paddle#Surf#Voile#Voile habitable","oui"
48.272947,-4.426493,29160,"Lanvéoc","Randonnée équestre","oui"
48.0994876,-4.3403757,29100,"Douarnenez","Planche à voile#Voile","oui"
47.8407212,-4.3460104,29120,"Plomeur","Bodyboard#Surf",""
48.5572693,-4.7057252,29830,"Ploudalmézeau","Catamaran#Kayak de mer#Planche à voile#Stand up paddle",""
47.8831224,-4.1634283,29120,"Combrit","","oui"
48.6688505,-3.9076511,29660,"Carantec","Plongée",""
48.68582,-3.973627,29250,"Saint-Pol-de-Léon","",""
48.239029,-4.543538,29160,"Crozon","Surf",""
48.391613,-4.435704,29200,"Brest","Voile",""
48.555259,-4.550793,29870,"Tréglonou","Equitation",""
48.277772,-3.601501,29270,"Carhaix-Plouguer","Equitation#Randonnée équestre",""
48.66977,-3.908273,29660,"Carantec","Voile",""
48.2900764,-3.5695614,29270,"Carhaix-Plouguer","Equitation",""
47.7948164,-4.2847054,29730,"Guilvinec","Cyclotourisme#VTT","oui"
48.6646639,-3.8545274,29252,"Morlaix","Plongée",""
48.5808154,-3.8144579,29600,"Morlaix","Equitation",""
48.6682599,-3.9080698,29660,"Carantec","Stand up paddle",""
48.0458732,-4.7054532,29770,"Plogoff","Stand up paddle#Surf","oui"
48.565121,-4.65311,29830,"Lampaul-Ploudalmézeau","Char à voile",""
